model_name,model_size,fine_tuned_dataset,fine_tuned_language,eval_dataset,eval_language,regime,score_mean,score_std,score_base_mean,score_base_std,score_norm_mean,score_norm_std,score_norm_base_mean,score_norm_base_std,delta_score_mean,delta_score_std,delta_score_norm_mean,delta_score_norm_std,n_seeds,score_se,score_base_se,score_norm_se,score_norm_base_se,delta_score_se,delta_score_norm_se
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,global_mmlu,pt,CT-CL,0.2366666666666666,0.0028867513459481,0.235,0.0,0.2366666666666666,0.0028867513459481,0.235,0.0,0.1666666666666668,0.2886751345948131,0.1666666666666668,0.2886751345948131,3,0.0016666666666666,0.0,0.0016666666666666,0.0,0.1666666666666668,0.1666666666666668
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,global_mmlu,zh,CT-CL,0.5508333333333333,0.0339423530906938,0.5358333333333333,0.001443375672974,0.5508333333333333,0.0339423530906938,0.5358333333333333,0.001443375672974,1.4999999999999976,3.4641016151377513,1.4999999999999976,3.4641016151377513,3,0.0195966266938414,0.0008333333333333,0.0195966266938414,0.0008333333333333,1.9999999999999984,1.9999999999999984
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,ar,CT-ML,0.3858333333333333,0.0087797114607106,0.3841666666666667,0.0038188130791298,0.4833333333333333,0.0350297492616394,0.4875,0.0288314064866769,0.1666666666666668,0.5204164998665337,-0.416666666666667,0.8779711460710623,3,0.0050689687752485,0.0022047927592204,0.0202244351658526,0.0166458202961984,0.3004626062886661,0.5068968775248521
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,bn,CT-CL,0.2991666666666666,0.0104083299973306,0.3033333333333333,0.0125830573921179,0.3466666666666667,0.0142156017576932,0.3525,0.0180277563773199,-0.416666666666667,0.2886751345948131,-0.583333333333332,0.3818813079129876,3,0.0060092521257733,0.0072648315725678,0.0082073815014967,0.0104083299973306,0.1666666666666668,0.2204792759220498
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,de,CT-CL,0.4633333333333334,0.0240225588423326,0.4591666666666666,0.0251661147842358,0.5541666666666667,0.0202072594216369,0.5516666666666666,0.0137689263682152,0.416666666666667,0.1443375672974065,0.250000000000002,0.6614378277661503,3,0.0138694308142443,0.0145296631451355,0.0116666666666666,0.0079494933451411,0.0833333333333334,0.3818813079129882
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,en,CT-CL,0.5958333333333333,0.0087797114607105,0.5958333333333333,0.0101036297108184,0.7508333333333334,0.0112731243820572,0.7475,0.0086602540378443,0.0,0.4330127018922197,0.3333333333333299,0.5204164998665346,3,0.0050689687752484,0.0058333333333333,0.0065085413965888,0.0049999999999999,0.2500000000000002,0.3004626062886666
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,es,CT-CL,0.4883333333333333,0.0232289331079439,0.4875,0.0222204860432889,0.6391666666666667,0.0218422373701352,0.6391666666666667,0.0189296944860008,0.0833333333333352,0.2886751345948147,0.0,0.4330127018922197,3,0.0134112307828592,0.0128290035986172,0.0126106216253512,0.0109290642071699,0.1666666666666677,0.2500000000000002
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,fr,CT-CL,0.4858333333333333,0.0094648472430004,0.4866666666666666,0.0062915286960589,0.6291666666666668,0.0160727512683215,0.6308333333333334,0.0146486631927057,-0.0833333333333334,0.381881307912987,-0.1666666666666631,0.1443375672974033,3,0.005464532103585,0.0036324157862838,0.0092796072713833,0.0084574096375768,0.2204792759220494,0.0833333333333315
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,hi,CT-CL,0.3691666666666666,0.0062915286960589,0.3699999999999999,0.0066143782776614,0.4508333333333333,0.0160727512683216,0.45,0.015,-0.0833333333333334,0.2886751345948131,0.0833333333333334,0.5773502691896263,3,0.0036324157862839,0.0038188130791298,0.0092796072713833,0.0086602540378443,0.1666666666666668,0.3333333333333336
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,id,CT-CL,0.4475,0.0288314064866769,0.4458333333333333,0.0301385688667085,0.53,0.058148516748065,0.5283333333333333,0.0579511288357123,0.1666666666666668,0.1443375672974065,0.1666666666666686,0.1443375672974081,3,0.0166458202961984,0.0174005108481842,0.0335720617974728,0.0334580998331412,0.0833333333333334,0.0833333333333343
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,it,CT-CL,0.4641666666666666,0.0101036297108184,0.4675,0.0124999999999999,0.5816666666666667,0.0087797114607105,0.5833333333333334,0.0087797114607106,-0.3333333333333355,0.6291528696058938,-0.1666666666666668,0.8779711460710655,3,0.0058333333333333,0.0072168783648703,0.0050689687752485,0.0050689687752485,0.3632415786283883,0.5068968775248539
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,pt,CT-CL,0.465,0.0099999999999999,0.4675,0.0066143782776614,0.6183333333333333,0.0226844293146936,0.6158333333333333,0.0251661147842357,-0.2500000000000002,0.4330127018922197,0.2499999999999983,0.2500000000000002,3,0.0057735026918962,0.0038188130791298,0.0130968613712514,0.0145296631451355,0.2500000000000002,0.1443375672974065
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,hellaswag,zh,CT-CL,0.4425,0.0090138781886599,0.4466666666666667,0.0072168783648703,0.5716666666666667,0.0305505046330389,0.5658333333333334,0.0274241377865072,-0.416666666666667,0.6291528696058964,0.5833333333333283,1.0103629710818405,3,0.0052041649986653,0.0041666666666666,0.0176383420737639,0.0158333333333333,0.3632415786283898,0.5833333333333307
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,ar,CT-ML,0.3391666666666666,0.0305505046330389,0.3408333333333333,0.0280995255001456,0.3391666666666666,0.0305505046330389,0.3408333333333333,0.0280995255001456,-0.1666666666666649,1.18145390656315,-0.1666666666666649,1.18145390656315,3,0.0176383420737639,0.0162232686116098,0.0176383420737639,0.0162232686116098,0.6821127309893696,0.6821127309893696
